time,S,I,R
90.5,2.446317546866057e-12,0.11757849398078493,999.8824215060185
91.0,2.4045992681805777e-12,0.11184649549220584,999.8881535045073
91.5,2.3655554602372782e-12,0.10639286949179855,999.8936071305077
92.0,2.329008579533994e-12,0.10120361642945618,999.8987963835701
92.5,2.294753754684079e-12,0.09626612090643474,999.9037338790931
93.0,2.262635474586171e-12,0.09156885519840396,999.9084311448012
93.5,2.2325089071104117e-12,0.0871006812178314,999.9128993187818
94.0,2.20423713284124e-12,0.08285083444930824,999.9171491655503
94.5,2.177691145077388e-12,0.07880892394954922,999.9211910760501
95.0,2.152749849831886e-12,0.07496493234739263,999.9250350676523
95.5,2.1293000658320595e-12,0.07130921584380032,999.928690784156
96.0,2.107236524519529e-12,0.06783250421185782,999.9321674957879
96.5,2.0864618700502116e-12,0.06452590079677414,999.935474099203
97.0,2.0668866592943197e-12,0.06138088251588176,999.9386191174839
97.5,2.0484293618363633e-12,0.05838929985863714,999.9416107001412
98.0,2.0310163599751446e-12,0.055543376886619755,999.9444566231132
98.5,2.014581948723767e-12,0.05283571123353328,999.9471642887663
99.0,1.9990683235762753e-12,0.050259279442942756,999.949740720557
99.5,1.9844220473104595e-12,0.047808105396511535,999.9521918946034
100.0,1.9705896752637743e-12,0.04547647665440192,999.9545235233455
